

--- Inversion on [256, 128] grid with wTVReg and alpha=1.0 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  8.0	1.50e-01	2.45e-01	3.86e-01	9.77e-01	  0
   .1	1.43e-01	2.49e-01			9.71e-01
  9.0	1.43e-01	2.49e-01	3.86e-01	9.71e-01	  0
   .1	1.42e-01	2.49e-01			9.67e-01
 10.0	1.42e-01	2.49e-01	3.86e-01	9.67e-01	  0
   .1	1.36e-01	2.53e-01			9.62e-01
 11.0	1.36e-01	2.53e-01	3.86e-01	9.62e-01	  0
   .1	1.35e-01	2.53e-01			9.59e-01
 12.0	1.35e-01	2.53e-01	3.86e-01	9.59e-01	  0
   .1	1.31e-01	2.55e-01			9.56e-01
 13.0	1.31e-01	2.55e-01	3.86e-01	9.56e-01	  0
   .1	1.30e-01	2.55e-01			9.54e-01
 14.0	1.30e-01	2.55e-01	3.86e-01	9.54e-01	  0
   .1	1.28e-01	2.57e-01			9.51e-01
 15.0	1.28e-01	2.57e-01	3.86e-01	9.51e-01	  0
   .1	1.27e-01	2.57e-01			9.50e-01
 16.0	1.27e-01	2.57e-01	3.86e-01	9.50e-01	  0
   .1	1.25e-01	2.58e-01			9.48e-01
 17.0	1.25e-01	2.58e-01	3.86e-01	9.48e-01	  0
   .1	1.25e-01	2.58e-01			9.46e-01
 18.0	1.25e-01	2.58e-01	3.86e-01	9.46e-01	  0
   .1	1.24e-01	2.58e-01			9.45e-01
 19.0	1.24e-01	2.58e-01	3.86e-01	9.45e-01	  0
   .1	1.24e-01	2.58e-01			9.44e-01
 20.0	1.24e-01	2.58e-01	3.86e-01	9.44e-01	  0
   .1	1.23e-01	2.58e-01			9.44e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.0035105644500843247 instead 0.001.


--- Inversion on [256, 128] grid with wTVReg and alpha=0.23950266199874853 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.23e-01	1.60e-01	2.40e-01	1.00e+00	  0
   .1	1.21e-01	1.62e-01			9.97e-01
  2.0	1.21e-01	1.62e-01	2.40e-01	9.97e-01	  0
   .1	1.18e-01	1.63e-01			9.94e-01
  3.0	1.18e-01	1.63e-01	2.40e-01	9.94e-01	403
   .1	1.18e-01	1.64e-01			9.94e-01
  4.0	1.18e-01	1.64e-01	2.40e-01	9.94e-01	413
   .1	1.16e-01	1.65e-01			9.94e-01
  5.0	1.16e-01	1.65e-01	2.40e-01	9.94e-01	374
   .1	1.16e-01	1.66e-01			9.93e-01
  6.0	1.16e-01	1.66e-01	2.40e-01	9.93e-01	293
   .1	1.15e-01	1.66e-01			9.93e-01
  7.0	1.15e-01	1.66e-01	2.40e-01	9.93e-01	200
   .1	1.15e-01	1.66e-01			9.91e-01
  8.0	1.15e-01	1.66e-01	2.40e-01	9.91e-01	134
   .1	1.14e-01	1.66e-01			9.89e-01
  9.0	1.14e-01	1.66e-01	2.40e-01	9.89e-01	 92
   .1	1.14e-01	1.66e-01			9.88e-01
 10.0	1.14e-01	1.66e-01	2.40e-01	9.88e-01	 67
   .1	1.11e-01	1.68e-01			9.84e-01
 11.0	1.11e-01	1.68e-01	2.40e-01	9.84e-01	747
   .1	1.11e-01	1.68e-01			9.84e-01
   .2	1.11e-01	1.68e-01			9.83e-01
 12.0	1.11e-01	1.68e-01	2.40e-01	9.83e-01	612
   .1	1.10e-01	1.69e-01			9.83e-01
   .2	1.10e-01	1.68e-01			9.82e-01
 13.0	1.10e-01	1.68e-01	2.40e-01	9.82e-01	529
   .1	1.10e-01	1.68e-01			9.80e-01
 14.0	1.10e-01	1.68e-01	2.40e-01	9.80e-01	499
   .1	1.08e-01	1.70e-01			9.79e-01
 15.0	1.08e-01	1.70e-01	2.40e-01	9.79e-01	468
   .1	1.06e-01	1.71e-01			9.77e-01
 16.0	1.06e-01	1.71e-01	2.40e-01	9.77e-01	411
   .1	1.05e-01	1.72e-01			9.76e-01
 17.0	1.05e-01	1.72e-01	2.40e-01	9.76e-01	340
   .1	1.03e-01	1.72e-01			9.72e-01
 18.0	1.03e-01	1.72e-01	2.40e-01	9.72e-01	367
   .1	1.02e-01	1.74e-01			9.71e-01
 19.0	1.02e-01	1.74e-01	2.40e-01	9.71e-01	361
   .1	1.02e-01	1.74e-01			9.72e-01
   .2	1.02e-01	1.73e-01			9.67e-01
 20.0	1.02e-01	1.73e-01	2.40e-01	9.67e-01	180
   .1	1.02e-01	1.72e-01			9.66e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.00401098473648371 instead 0.001.


--- Inversion on [256, 128] grid with wTVReg and alpha=0.14873521072935114 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.02e-01	1.07e-01	1.49e-01	1.00e+00	215
   .1	1.00e-01	1.08e-01			9.97e-01
  2.0	1.00e-01	1.08e-01	1.49e-01	9.97e-01	776
   .1	9.87e-02	1.09e-01			9.96e-01
  3.0	9.87e-02	1.09e-01	1.49e-01	9.96e-01	601
   .1	9.81e-02	1.10e-01			9.95e-01
  4.0	9.81e-02	1.10e-01	1.49e-01	9.95e-01	494
   .1	9.78e-02	1.10e-01			9.96e-01
   .2	9.79e-02	1.09e-01			9.92e-01
  5.0	9.79e-02	1.09e-01	1.49e-01	9.92e-01	259
   .1	9.74e-02	1.10e-01			9.93e-01
   .2	9.77e-02	1.09e-01			9.91e-01
  6.0	9.77e-02	1.09e-01	1.49e-01	9.91e-01	151
   .1	9.72e-02	1.09e-01			9.90e-01
  7.0	9.72e-02	1.09e-01	1.49e-01	9.90e-01	415
   .1	9.59e-02	1.10e-01			9.88e-01
  8.0	9.59e-02	1.10e-01	1.49e-01	9.88e-01	714
   .1	9.50e-02	1.11e-01			9.87e-01
  9.0	9.50e-02	1.11e-01	1.49e-01	9.87e-01	645
   .1	9.35e-02	1.12e-01			9.85e-01
 10.0	9.35e-02	1.12e-01	1.49e-01	9.85e-01	530
   .1	9.30e-02	1.12e-01			9.84e-01
 11.0	9.30e-02	1.12e-01	1.49e-01	9.84e-01	497
   .1	9.26e-02	1.12e-01			9.82e-01
 12.0	9.26e-02	1.12e-01	1.49e-01	9.82e-01	449
   .1	9.25e-02	1.12e-01			9.82e-01
   .2	9.25e-02	1.11e-01			9.78e-01
 13.0	9.25e-02	1.11e-01	1.49e-01	9.78e-01	151
   .1	9.21e-02	1.11e-01			9.75e-01
 14.0	9.21e-02	1.11e-01	1.49e-01	9.75e-01	336
   .1	9.15e-02	1.12e-01			9.75e-01
 15.0	9.15e-02	1.12e-01	1.49e-01	9.75e-01	971
   .1	8.99e-02	1.13e-01			9.73e-01
 16.0	8.99e-02	1.13e-01	1.49e-01	9.73e-01	883
   .1	8.91e-02	1.13e-01			9.71e-01
 17.0	8.91e-02	1.13e-01	1.49e-01	9.71e-01	692
   .1	8.86e-02	1.14e-01			9.70e-01
 18.0	8.86e-02	1.14e-01	1.49e-01	9.70e-01	595
   .1	8.83e-02	1.14e-01			9.70e-01
 19.0	8.83e-02	1.14e-01	1.49e-01	9.70e-01	550
   .1	8.79e-02	1.14e-01			9.69e-01
 20.0	8.79e-02	1.14e-01	1.49e-01	9.69e-01	456
   .1	8.77e-02	1.14e-01			9.67e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.0038146290017323807 instead 0.001.


--- Inversion on [256, 128] grid with wTVReg and alpha=0.09236708571873861 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	8.77e-02	7.08e-02	9.24e-02	1.00e+00	409
   .1	8.55e-02	7.15e-02			9.90e-01
  2.0	8.55e-02	7.15e-02	9.24e-02	9.90e-01	825
   .1	8.46e-02	7.19e-02			9.87e-01
