

--- Inversion on [96, 48, 48] grid with wTVReg and alpha=1.0 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
 12.0	1.05e-01	3.19e-01	3.86e-01	9.72e-01	7684
   .1	1.05e-01	3.19e-01			9.72e-01
   .2	1.05e-01	3.19e-01			9.71e-01
projGN reached desired accuracy at iteration 12.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.23950266199874853 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.05e-01	1.98e-01	2.40e-01	1.00e+00	1892
   .1	9.72e-02	2.03e-01			9.92e-01
  2.0	9.72e-02	2.03e-01	2.40e-01	9.92e-01	8122
   .1	9.36e-02	2.06e-01			9.89e-01
  3.0	9.36e-02	2.06e-01	2.40e-01	9.89e-01	7119
   .1	9.15e-02	2.08e-01			9.88e-01
  4.0	9.15e-02	2.08e-01	2.40e-01	9.88e-01	5312
   .1	9.02e-02	2.09e-01			9.87e-01
  5.0	9.02e-02	2.09e-01	2.40e-01	9.87e-01	5050
   .1	8.87e-02	2.10e-01			9.86e-01
  6.0	8.87e-02	2.10e-01	2.40e-01	9.86e-01	5538
   .1	8.64e-02	2.11e-01			9.83e-01
  7.0	8.64e-02	2.11e-01	2.40e-01	9.83e-01	6972
   .1	7.87e-02	2.15e-01			9.71e-01
  8.0	7.87e-02	2.15e-01	2.40e-01	9.71e-01	11081
   .1	6.96e-02	2.21e-01			9.60e-01
  9.0	6.96e-02	2.21e-01	2.40e-01	9.60e-01	15386
   .1	6.97e-02	2.19e-01			9.54e-01
 10.0	6.97e-02	2.19e-01	2.40e-01	9.54e-01	14637
   .1	6.46e-02	2.22e-01			9.46e-01
 11.0	6.46e-02	2.22e-01	2.40e-01	9.46e-01	14315
   .1	6.28e-02	2.22e-01			9.41e-01
 12.0	6.28e-02	2.22e-01	2.40e-01	9.41e-01	13794
   .1	6.35e-02	2.21e-01			9.40e-01
 13.0	6.35e-02	2.21e-01	2.40e-01	9.40e-01	11964
   .1	6.38e-02	2.20e-01			9.38e-01
 14.0	6.38e-02	2.20e-01	2.40e-01	9.38e-01	13091
   .1	6.42e-02	2.20e-01			9.38e-01
 15.0	6.42e-02	2.20e-01	2.40e-01	9.38e-01	13949
   .1	6.45e-02	2.19e-01			9.38e-01
 16.0	6.45e-02	2.19e-01	2.40e-01	9.38e-01	16881
   .1	6.47e-02	2.19e-01			9.37e-01
 17.0	6.47e-02	2.19e-01	2.40e-01	9.37e-01	13513
   .1	6.48e-02	2.19e-01			9.37e-01
 18.0	6.48e-02	2.19e-01	2.40e-01	9.37e-01	16121
   .1	6.49e-02	2.19e-01			9.37e-01
 19.0	6.49e-02	2.19e-01	2.40e-01	9.37e-01	11027
   .1	6.49e-02	2.19e-01			9.37e-01
 20.0	6.49e-02	2.19e-01	2.40e-01	9.37e-01	14622
   .1	6.49e-02	2.19e-01			9.37e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.001318225596563971 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.14873521072935114 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	6.49e-02	1.36e-01	1.49e-01	1.00e+00	10255
   .1	6.13e-02	1.38e-01			9.93e-01
  2.0	6.13e-02	1.38e-01	1.49e-01	9.93e-01	9176
   .1	5.97e-02	1.39e-01			9.92e-01
