

--- Inversion on [96, 48, 48] grid with wTVReg and alpha=1.0 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.005298316906283708 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.42e-02	7.03e-03	5.30e-03	1.00e+00	25441
   .1	1.41e-02	7.12e-03			9.98e-01
  2.0	1.41e-02	7.12e-03	5.30e-03	9.98e-01	48128
   .1	1.40e-02	7.16e-03			9.98e-01
  3.0	1.40e-02	7.16e-03	5.30e-03	9.98e-01	48313
   .1	1.40e-02	7.18e-03			9.98e-01
  4.0	1.40e-02	7.18e-03	5.30e-03	9.98e-01	40924
   .1	1.40e-02	7.19e-03			9.97e-01
  5.0	1.40e-02	7.19e-03	5.30e-03	9.97e-01	35266
   .1	1.40e-02	7.21e-03			9.97e-01
  6.0	1.40e-02	7.21e-03	5.30e-03	9.97e-01	35406
   .1	1.39e-02	7.22e-03			9.97e-01
  7.0	1.39e-02	7.22e-03	5.30e-03	9.97e-01	33096
   .1	1.39e-02	7.22e-03			9.97e-01
  8.0	1.39e-02	7.22e-03	5.30e-03	9.97e-01	36666
   .1	1.39e-02	7.23e-03			9.96e-01
  9.0	1.39e-02	7.23e-03	5.30e-03	9.96e-01	41933
   .1	1.39e-02	7.23e-03			9.96e-01
 10.0	1.39e-02	7.23e-03	5.30e-03	9.96e-01	42881
   .1	1.39e-02	7.23e-03			9.96e-01
 11.0	1.39e-02	7.23e-03	5.30e-03	9.96e-01	39934
   .1	1.39e-02	7.24e-03			9.96e-01
 12.0	1.39e-02	7.24e-03	5.30e-03	9.96e-01	38252
   .1	1.39e-02	7.24e-03			9.96e-01
 13.0	1.39e-02	7.24e-03	5.30e-03	9.96e-01	41776
   .1	1.39e-02	7.24e-03			9.96e-01
 14.0	1.39e-02	7.24e-03	5.30e-03	9.96e-01	39580
   .1	1.39e-02	7.24e-03			9.96e-01
 15.0	1.39e-02	7.24e-03	5.30e-03	9.96e-01	37135
   .1	1.39e-02	7.24e-03			9.95e-01
 16.0	1.39e-02	7.24e-03	5.30e-03	9.95e-01	36504
   .1	1.39e-02	7.24e-03			9.95e-01
 17.0	1.39e-02	7.24e-03	5.30e-03	9.95e-01	35974
   .1	1.39e-02	7.24e-03			9.95e-01
 18.0	1.39e-02	7.24e-03	5.30e-03	9.95e-01	36634
   .1	1.39e-02	7.24e-03			9.95e-01
 19.0	1.39e-02	7.24e-03	5.30e-03	9.95e-01	33006
   .1	1.39e-02	7.24e-03			9.95e-01
 20.0	1.39e-02	7.24e-03	5.30e-03	9.95e-01	34512
   .1	1.39e-02	7.24e-03			9.95e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.001925363278534653 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.0032903445623126675 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.39e-02	4.50e-03	3.29e-03	1.00e+00	34391
   .1	1.38e-02	4.55e-03			9.99e-01
  2.0	1.38e-02	4.55e-03	3.29e-03	9.99e-01	37958
   .1	1.38e-02	4.58e-03			9.98e-01
  3.0	1.38e-02	4.58e-03	3.29e-03	9.98e-01	66874
   .1	1.38e-02	4.59e-03			9.98e-01
  4.0	1.38e-02	4.59e-03	3.29e-03	9.98e-01	52327
   .1	1.37e-02	4.60e-03			9.98e-01
  5.0	1.37e-02	4.60e-03	3.29e-03	9.98e-01	43450
   .1	1.37e-02	4.60e-03			9.98e-01
  6.0	1.37e-02	4.60e-03	3.29e-03	9.98e-01	40363
   .1	1.37e-02	4.61e-03			9.98e-01
  7.0	1.37e-02	4.61e-03	3.29e-03	9.98e-01	38902
   .1	1.37e-02	4.61e-03			9.98e-01
  8.0	1.37e-02	4.61e-03	3.29e-03	9.98e-01	39254
   .1	1.37e-02	4.61e-03			9.98e-01
  9.0	1.37e-02	4.61e-03	3.29e-03	9.98e-01	45024
   .1	1.37e-02	4.61e-03			9.98e-01
 10.0	1.37e-02	4.61e-03	3.29e-03	9.98e-01	40773
   .1	1.37e-02	4.61e-03			9.98e-01
 11.0	1.37e-02	4.61e-03	3.29e-03	9.98e-01	43665
   .1	1.37e-02	4.61e-03			9.98e-01
 12.0	1.37e-02	4.61e-03	3.29e-03	9.98e-01	43151
   .1	1.37e-02	4.61e-03			9.98e-01
 13.0	1.37e-02	4.61e-03	3.29e-03	9.98e-01	42238
   .1	1.37e-02	4.62e-03			9.98e-01
 14.0	1.37e-02	4.62e-03	3.29e-03	9.98e-01	40353
   .1	1.37e-02	4.62e-03			9.98e-01
 15.0	1.37e-02	4.62e-03	3.29e-03	9.98e-01	39368
   .1	1.37e-02	4.62e-03			9.98e-01
 16.0	1.37e-02	4.62e-03	3.29e-03	9.98e-01	39625
   .1	1.37e-02	4.62e-03			9.98e-01
 17.0	1.37e-02	4.62e-03	3.29e-03	9.98e-01	38931
   .1	1.37e-02	4.62e-03			9.98e-01
projGN reached desired accuracy at iteration 17.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.0020433597178569417 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.37e-02	2.87e-03	2.04e-03	1.00e+00	38954
   .1	1.37e-02	2.90e-03			9.99e-01
  2.0	1.37e-02	2.90e-03	2.04e-03	9.99e-01	39955
   .1	1.36e-02	2.92e-03			9.99e-01
  3.0	1.36e-02	2.92e-03	2.04e-03	9.99e-01	70473
   .1	1.36e-02	2.93e-03			9.99e-01
  4.0	1.36e-02	2.93e-03	2.04e-03	9.99e-01	68107
   .1	1.36e-02	2.94e-03			9.99e-01
  5.0	1.36e-02	2.94e-03	2.04e-03	9.99e-01	61731
   .1	1.36e-02	2.95e-03			9.99e-01
  6.0	1.36e-02	2.95e-03	2.04e-03	9.99e-01	63503
   .1	1.36e-02	2.95e-03			9.98e-01
  7.0	1.36e-02	2.95e-03	2.04e-03	9.98e-01	60526
   .1	1.36e-02	2.95e-03			9.98e-01
  8.0	1.36e-02	2.95e-03	2.04e-03	9.98e-01	60827
   .1	1.36e-02	2.96e-03			9.98e-01
  9.0	1.36e-02	2.96e-03	2.04e-03	9.98e-01	61383
   .1	1.36e-02	2.96e-03			9.98e-01
 10.0	1.36e-02	2.96e-03	2.04e-03	9.98e-01	61253
   .1	1.36e-02	2.96e-03			9.98e-01
 11.0	1.36e-02	2.96e-03	2.04e-03	9.98e-01	61720
   .1	1.36e-02	2.96e-03			9.98e-01
 12.0	1.36e-02	2.96e-03	2.04e-03	9.98e-01	62123
   .1	1.36e-02	2.96e-03			9.98e-01
 13.0	1.36e-02	2.96e-03	2.04e-03	9.98e-01	61458
   .1	1.36e-02	2.96e-03			9.98e-01
 14.0	1.36e-02	2.96e-03	2.04e-03	9.98e-01	63516
   .1	1.36e-02	2.97e-03			9.98e-01
 15.0	1.36e-02	2.97e-03	2.04e-03	9.98e-01	64185
   .1	1.36e-02	2.97e-03			9.98e-01
 16.0	1.36e-02	2.97e-03	2.04e-03	9.98e-01	63831
   .1	1.36e-02	2.97e-03			9.98e-01
 17.0	1.36e-02	2.97e-03	2.04e-03	9.98e-01	64512
   .1	1.36e-02	2.97e-03			9.98e-01
 18.0	1.36e-02	2.97e-03	2.04e-03	9.98e-01	66181
   .1	1.36e-02	2.97e-03			9.98e-01
 19.0	1.36e-02	2.97e-03	2.04e-03	9.98e-01	65334
   .1	1.36e-02	2.97e-03			9.98e-01
 20.0	1.36e-02	2.97e-03	2.04e-03	9.98e-01	65579
   .1	1.36e-02	2.97e-03			9.98e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.005882017258232564 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.0012689610031679222 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.36e-02	1.85e-03	1.27e-03	1.00e+00	66949
   .1	1.35e-02	1.88e-03			9.99e-01
  2.0	1.35e-02	1.88e-03	1.27e-03	9.99e-01	95335
   .1	1.35e-02	1.90e-03			9.99e-01
  3.0	1.35e-02	1.90e-03	1.27e-03	9.99e-01	94064
   .1	1.35e-02	1.91e-03			9.98e-01
  4.0	1.35e-02	1.91e-03	1.27e-03	9.98e-01	93535
   .1	1.35e-02	1.92e-03			9.98e-01
  5.0	1.35e-02	1.92e-03	1.27e-03	9.98e-01	95882
   .1	1.35e-02	1.93e-03			9.98e-01
  6.0	1.35e-02	1.93e-03	1.27e-03	9.98e-01	96269
   .1	1.35e-02	1.93e-03			9.98e-01
  7.0	1.35e-02	1.93e-03	1.27e-03	9.98e-01	97742
   .1	1.35e-02	1.94e-03			9.98e-01
  8.0	1.35e-02	1.94e-03	1.27e-03	9.98e-01	96916
   .1	1.35e-02	1.94e-03			9.98e-01
  9.0	1.35e-02	1.94e-03	1.27e-03	9.98e-01	99180
   .1	1.34e-02	1.95e-03			9.98e-01
 10.0	1.34e-02	1.95e-03	1.27e-03	9.98e-01	98656
   .1	1.34e-02	1.95e-03			9.98e-01
 11.0	1.34e-02	1.95e-03	1.27e-03	9.98e-01	100753
   .1	1.34e-02	1.96e-03			9.97e-01
 12.0	1.34e-02	1.96e-03	1.27e-03	9.97e-01	100114
   .1	1.34e-02	1.96e-03			9.97e-01
 13.0	1.34e-02	1.96e-03	1.27e-03	9.97e-01	100106
   .1	1.34e-02	1.97e-03			9.97e-01
 14.0	1.34e-02	1.97e-03	1.27e-03	9.97e-01	101690
   .1	1.34e-02	1.97e-03			9.97e-01
 15.0	1.34e-02	1.97e-03	1.27e-03	9.97e-01	101099
   .1	1.34e-02	1.97e-03			9.97e-01
 16.0	1.34e-02	1.97e-03	1.27e-03	9.97e-01	101293
   .1	1.34e-02	1.97e-03			9.97e-01
 17.0	1.34e-02	1.97e-03	1.27e-03	9.97e-01	100824
   .1	1.34e-02	1.98e-03			9.97e-01
 18.0	1.34e-02	1.98e-03	1.27e-03	9.97e-01	101715
   .1	1.34e-02	1.98e-03			9.97e-01
 19.0	1.34e-02	1.98e-03	1.27e-03	9.97e-01	100763
   .1	1.34e-02	1.98e-03			9.97e-01
 20.0	1.34e-02	1.98e-03	1.27e-03	9.97e-01	101856
   .1	1.34e-02	1.98e-03			9.97e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.09999999999999998 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.0007880462815669912 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.34e-02	1.23e-03	7.88e-04	1.00e+00	102765
   .1	1.34e-02	1.24e-03			1.00e+00
  2.0	1.34e-02	1.24e-03	7.88e-04	1.00e+00	111670
   .1	1.34e-02	1.26e-03			9.99e-01
  3.0	1.34e-02	1.26e-03	7.88e-04	9.99e-01	114518
   .1	1.33e-02	1.27e-03			9.99e-01
  4.0	1.33e-02	1.27e-03	7.88e-04	9.99e-01	117033
   .1	1.33e-02	1.28e-03			9.98e-01
  5.0	1.33e-02	1.28e-03	7.88e-04	9.98e-01	119251
   .1	1.33e-02	1.29e-03			9.98e-01
  6.0	1.33e-02	1.29e-03	7.88e-04	9.98e-01	120393
   .1	1.33e-02	1.30e-03			9.98e-01
  7.0	1.33e-02	1.30e-03	7.88e-04	9.98e-01	121622
   .1	1.33e-02	1.31e-03			9.98e-01
  8.0	1.33e-02	1.31e-03	7.88e-04	9.98e-01	122194
   .1	1.33e-02	1.32e-03			9.97e-01
  9.0	1.33e-02	1.32e-03	7.88e-04	9.97e-01	124153
   .1	1.33e-02	1.33e-03			9.97e-01
 10.0	1.33e-02	1.33e-03	7.88e-04	9.97e-01	125053
   .1	1.33e-02	1.34e-03			9.97e-01
 11.0	1.33e-02	1.34e-03	7.88e-04	9.97e-01	125751
   .1	1.32e-02	1.35e-03			9.97e-01
 12.0	1.32e-02	1.35e-03	7.88e-04	9.97e-01	126710
   .1	1.32e-02	1.35e-03			9.97e-01
 13.0	1.32e-02	1.35e-03	7.88e-04	9.97e-01	126662
   .1	1.32e-02	1.36e-03			9.97e-01
 14.0	1.32e-02	1.36e-03	7.88e-04	9.97e-01	128503
   .1	1.32e-02	1.36e-03			9.96e-01
 15.0	1.32e-02	1.36e-03	7.88e-04	9.96e-01	129083
   .1	1.32e-02	1.37e-03			9.96e-01
 16.0	1.32e-02	1.37e-03	7.88e-04	9.96e-01	129924
   .1	1.32e-02	1.37e-03			9.96e-01
 17.0	1.32e-02	1.37e-03	7.88e-04	9.96e-01	130610
   .1	1.32e-02	1.38e-03			9.96e-01
 18.0	1.32e-02	1.38e-03	7.88e-04	9.96e-01	129653
   .1	1.32e-02	1.38e-03			9.96e-01
 19.0	1.32e-02	1.38e-03	7.88e-04	9.96e-01	132392
   .1	1.32e-02	1.38e-03			9.96e-01
 20.0	1.32e-02	1.38e-03	7.88e-04	9.96e-01	131923
   .1	1.32e-02	1.39e-03			9.96e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.09999999999999998 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.0004893900918477494 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.32e-02	8.63e-04	4.89e-04	1.00e+00	133589
   .1	1.32e-02	8.77e-04			9.99e-01
  2.0	1.32e-02	8.77e-04	4.89e-04	9.99e-01	139045
   .1	1.31e-02	8.90e-04			9.99e-01
  3.0	1.31e-02	8.90e-04	4.89e-04	9.99e-01	140752
   .1	1.31e-02	9.01e-04			9.98e-01
  4.0	1.31e-02	9.01e-04	4.89e-04	9.98e-01	142969
   .1	1.31e-02	9.13e-04			9.98e-01
  5.0	1.31e-02	9.13e-04	4.89e-04	9.98e-01	144509
   .1	1.31e-02	9.27e-04			9.98e-01
  6.0	1.31e-02	9.27e-04	4.89e-04	9.98e-01	146634
   .1	1.31e-02	9.41e-04			9.97e-01
  7.0	1.31e-02	9.41e-04	4.89e-04	9.97e-01	148033
   .1	1.30e-02	9.54e-04			9.97e-01
  8.0	1.30e-02	9.54e-04	4.89e-04	9.97e-01	149634
   .1	1.30e-02	9.66e-04			9.96e-01
  9.0	1.30e-02	9.66e-04	4.89e-04	9.96e-01	150903
   .1	1.30e-02	9.78e-04			9.96e-01
 10.0	1.30e-02	9.78e-04	4.89e-04	9.96e-01	152271
   .1	1.30e-02	9.86e-04			9.96e-01
 11.0	1.30e-02	9.86e-04	4.89e-04	9.96e-01	153061
   .1	1.30e-02	9.92e-04			9.96e-01
 12.0	1.30e-02	9.92e-04	4.89e-04	9.96e-01	153715
   .1	1.30e-02	9.97e-04			9.95e-01
 13.0	1.30e-02	9.97e-04	4.89e-04	9.95e-01	154172
   .1	1.30e-02	1.00e-03			9.95e-01
 14.0	1.30e-02	1.00e-03	4.89e-04	9.95e-01	154745
   .1	1.30e-02	1.01e-03			9.95e-01
 15.0	1.30e-02	1.01e-03	4.89e-04	9.95e-01	155058
   .1	1.30e-02	1.01e-03			9.95e-01
 16.0	1.30e-02	1.01e-03	4.89e-04	9.95e-01	155701
   .1	1.30e-02	1.01e-03			9.95e-01
 17.0	1.30e-02	1.01e-03	4.89e-04	9.95e-01	155528
   .1	1.30e-02	1.02e-03			9.95e-01
 18.0	1.30e-02	1.02e-03	4.89e-04	9.95e-01	156662
   .1	1.30e-02	1.02e-03			9.95e-01
 19.0	1.30e-02	1.02e-03	4.89e-04	9.95e-01	157129
   .1	1.29e-02	1.03e-03			9.95e-01
 20.0	1.29e-02	1.03e-03	4.89e-04	9.95e-01	158142
   .1	1.29e-02	1.04e-03			9.95e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.09999999999999998 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.0003039195382313198 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.29e-02	6.44e-04	3.04e-04	1.00e+00	158843
   .1	1.29e-02	6.58e-04			9.99e-01
  2.0	1.29e-02	6.58e-04	3.04e-04	9.99e-01	160943
   .1	1.29e-02	6.70e-04			9.99e-01
  3.0	1.29e-02	6.70e-04	3.04e-04	9.99e-01	162811
   .1	1.29e-02	6.81e-04			9.98e-01
  4.0	1.29e-02	6.81e-04	3.04e-04	9.98e-01	164253
   .1	1.29e-02	6.90e-04			9.98e-01
  5.0	1.29e-02	6.90e-04	3.04e-04	9.98e-01	165469
   .1	1.28e-02	7.01e-04			9.97e-01
  6.0	1.28e-02	7.01e-04	3.04e-04	9.97e-01	166843
   .1	1.28e-02	7.10e-04			9.97e-01
  7.0	1.28e-02	7.10e-04	3.04e-04	9.97e-01	167672
   .1	1.28e-02	7.18e-04			9.97e-01
  8.0	1.28e-02	7.18e-04	3.04e-04	9.97e-01	168488
   .1	1.28e-02	7.26e-04			9.96e-01
  9.0	1.28e-02	7.26e-04	3.04e-04	9.96e-01	169055
   .1	1.28e-02	7.33e-04			9.96e-01
 10.0	1.28e-02	7.33e-04	3.04e-04	9.96e-01	169829
   .1	1.28e-02	7.40e-04			9.96e-01
 11.0	1.28e-02	7.40e-04	3.04e-04	9.96e-01	170336
   .1	1.28e-02	7.45e-04			9.96e-01
 12.0	1.28e-02	7.45e-04	3.04e-04	9.96e-01	170870
   .1	1.28e-02	7.50e-04			9.96e-01
 13.0	1.28e-02	7.50e-04	3.04e-04	9.96e-01	171202
   .1	1.28e-02	7.55e-04			9.95e-01
 14.0	1.28e-02	7.55e-04	3.04e-04	9.95e-01	171715
   .1	1.28e-02	7.59e-04			9.95e-01
 15.0	1.28e-02	7.59e-04	3.04e-04	9.95e-01	172017
   .1	1.27e-02	7.63e-04			9.95e-01
 16.0	1.27e-02	7.63e-04	3.04e-04	9.95e-01	172473
   .1	1.27e-02	7.68e-04			9.95e-01
 17.0	1.27e-02	7.68e-04	3.04e-04	9.95e-01	173074
   .1	1.27e-02	7.73e-04			9.95e-01
 18.0	1.27e-02	7.73e-04	3.04e-04	9.95e-01	173586
   .1	1.27e-02	7.77e-04			9.95e-01
 19.0	1.27e-02	7.77e-04	3.04e-04	9.95e-01	173830
   .1	1.27e-02	7.81e-04			9.94e-01
 20.0	1.27e-02	7.81e-04	3.04e-04	9.94e-01	174322
   .1	1.27e-02	7.85e-04			9.94e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.09999999999999998 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.00018873918221350977 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.27e-02	4.87e-04	1.89e-04	1.00e+00	174760
   .1	1.27e-02	4.95e-04			1.00e+00
  2.0	1.27e-02	4.95e-04	1.89e-04	1.00e+00	175455
   .1	1.27e-02	5.01e-04			9.99e-01
  3.0	1.27e-02	5.01e-04	1.89e-04	9.99e-01	176107
   .1	1.27e-02	5.07e-04			9.99e-01
  4.0	1.27e-02	5.07e-04	1.89e-04	9.99e-01	176923
   .1	1.27e-02	5.12e-04			9.98e-01
  5.0	1.27e-02	5.12e-04	1.89e-04	9.98e-01	177559
   .1	1.27e-02	5.18e-04			9.98e-01
  6.0	1.27e-02	5.18e-04	1.89e-04	9.98e-01	178242
   .1	1.27e-02	5.23e-04			9.98e-01
  7.0	1.27e-02	5.23e-04	1.89e-04	9.98e-01	178869
   .1	1.26e-02	5.27e-04			9.98e-01
  8.0	1.26e-02	5.27e-04	1.89e-04	9.98e-01	179354
   .1	1.26e-02	5.30e-04			9.97e-01
  9.0	1.26e-02	5.30e-04	1.89e-04	9.97e-01	179850
   .1	1.26e-02	5.33e-04			9.97e-01
 10.0	1.26e-02	5.33e-04	1.89e-04	9.97e-01	180172
   .1	1.26e-02	5.36e-04			9.97e-01
 11.0	1.26e-02	5.36e-04	1.89e-04	9.97e-01	180580
   .1	1.26e-02	5.39e-04			9.97e-01
 12.0	1.26e-02	5.39e-04	1.89e-04	9.97e-01	180880
   .1	1.26e-02	5.43e-04			9.97e-01
 13.0	1.26e-02	5.43e-04	1.89e-04	9.97e-01	181545
   .1	1.26e-02	5.47e-04			9.96e-01
 14.0	1.26e-02	5.47e-04	1.89e-04	9.96e-01	181987
   .1	1.26e-02	5.51e-04			9.96e-01
 15.0	1.26e-02	5.51e-04	1.89e-04	9.96e-01	182488
   .1	1.26e-02	5.54e-04			9.96e-01
 16.0	1.26e-02	5.54e-04	1.89e-04	9.96e-01	182997
   .1	1.26e-02	5.58e-04			9.96e-01
 17.0	1.26e-02	5.58e-04	1.89e-04	9.96e-01	183510
   .1	1.26e-02	5.61e-04			9.96e-01
 18.0	1.26e-02	5.61e-04	1.89e-04	9.96e-01	183840
   .1	1.26e-02	5.64e-04			9.96e-01
 19.0	1.26e-02	5.64e-04	1.89e-04	9.96e-01	184228
   .1	1.26e-02	5.67e-04			9.96e-01
 20.0	1.26e-02	5.67e-04	1.89e-04	9.96e-01	184532
   .1	1.26e-02	5.69e-04			9.95e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.09797147165644782 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=0.00011721022975334806 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.26e-02	3.54e-04	1.17e-04	1.00e+00	184906
   .1	1.26e-02	3.57e-04			1.00e+00
  2.0	1.26e-02	3.57e-04	1.17e-04	1.00e+00	185157
   .1	1.26e-02	3.62e-04			9.99e-01
  3.0	1.26e-02	3.62e-04	1.17e-04	9.99e-01	185919
   .1	1.25e-02	3.66e-04			9.99e-01
  4.0	1.25e-02	3.66e-04	1.17e-04	9.99e-01	186566
   .1	1.25e-02	3.70e-04			9.99e-01
  5.0	1.25e-02	3.70e-04	1.17e-04	9.99e-01	187318
   .1	1.25e-02	3.74e-04			9.98e-01
  6.0	1.25e-02	3.74e-04	1.17e-04	9.98e-01	187872
   .1	1.25e-02	3.77e-04			9.98e-01
  7.0	1.25e-02	3.77e-04	1.17e-04	9.98e-01	188525
   .1	1.25e-02	3.79e-04			9.98e-01
  8.0	1.25e-02	3.79e-04	1.17e-04	9.98e-01	188955
   .1	1.25e-02	3.82e-04			9.98e-01
  9.0	1.25e-02	3.82e-04	1.17e-04	9.98e-01	189514
   .1	1.25e-02	3.84e-04			9.97e-01
 10.0	1.25e-02	3.84e-04	1.17e-04	9.97e-01	189928
   .1	1.25e-02	3.86e-04			9.97e-01
 11.0	1.25e-02	3.86e-04	1.17e-04	9.97e-01	190400
   .1	1.25e-02	3.88e-04			9.97e-01
 12.0	1.25e-02	3.88e-04	1.17e-04	9.97e-01	190821
   .1	1.25e-02	3.90e-04			9.97e-01
 13.0	1.25e-02	3.90e-04	1.17e-04	9.97e-01	191245
   .1	1.25e-02	3.92e-04			9.97e-01
 14.0	1.25e-02	3.92e-04	1.17e-04	9.97e-01	191595
   .1	1.25e-02	3.94e-04			9.97e-01
 15.0	1.25e-02	3.94e-04	1.17e-04	9.97e-01	191963
   .1	1.25e-02	3.97e-04			9.96e-01
 16.0	1.25e-02	3.97e-04	1.17e-04	9.96e-01	192717
   .1	1.25e-02	4.00e-04			9.96e-01
 17.0	1.25e-02	4.00e-04	1.17e-04	9.96e-01	193129
   .1	1.25e-02	4.02e-04			9.96e-01
 18.0	1.25e-02	4.02e-04	1.17e-04	9.96e-01	193643
   .1	1.25e-02	4.04e-04			9.96e-01
 19.0	1.25e-02	4.04e-04	1.17e-04	9.96e-01	194047
   .1	1.25e-02	4.06e-04			9.96e-01
 20.0	1.25e-02	4.06e-04	1.17e-04	9.96e-01	194406
   .1	1.25e-02	4.08e-04			9.96e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.09999999999999998 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=7.278953843983146e-5 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.25e-02	2.53e-04	7.28e-05	1.00e+00	194768
   .1	1.25e-02	2.55e-04			1.00e+00
  2.0	1.25e-02	2.55e-04	7.28e-05	1.00e+00	195138
   .1	1.25e-02	2.57e-04			1.00e+00
  3.0	1.25e-02	2.57e-04	7.28e-05	1.00e+00	195744
   .1	1.24e-02	2.59e-04			9.99e-01
  4.0	1.24e-02	2.59e-04	7.28e-05	9.99e-01	195996
   .1	1.24e-02	2.61e-04			9.99e-01
  5.0	1.24e-02	2.61e-04	7.28e-05	9.99e-01	196480
   .1	1.24e-02	2.62e-04			9.99e-01
  6.0	1.24e-02	2.62e-04	7.28e-05	9.99e-01	196703
   .1	1.24e-02	2.64e-04			9.99e-01
  7.0	1.24e-02	2.64e-04	7.28e-05	9.99e-01	197208
   .1	1.24e-02	2.65e-04			9.99e-01
  8.0	1.24e-02	2.65e-04	7.28e-05	9.99e-01	197461
   .1	1.24e-02	2.66e-04			9.98e-01
  9.0	1.24e-02	2.66e-04	7.28e-05	9.98e-01	197911
   .1	1.24e-02	2.68e-04			9.98e-01
 10.0	1.24e-02	2.68e-04	7.28e-05	9.98e-01	198198
   .1	1.24e-02	2.69e-04			9.98e-01
 11.0	1.24e-02	2.69e-04	7.28e-05	9.98e-01	198650
   .1	1.24e-02	2.71e-04			9.98e-01
 12.0	1.24e-02	2.71e-04	7.28e-05	9.98e-01	198980
   .1	1.24e-02	2.72e-04			9.98e-01
 13.0	1.24e-02	2.72e-04	7.28e-05	9.98e-01	199355
   .1	1.24e-02	2.73e-04			9.98e-01
 14.0	1.24e-02	2.73e-04	7.28e-05	9.98e-01	199650
   .1	1.24e-02	2.75e-04			9.98e-01
 15.0	1.24e-02	2.75e-04	7.28e-05	9.98e-01	200001
   .1	1.24e-02	2.76e-04			9.97e-01
 16.0	1.24e-02	2.76e-04	7.28e-05	9.97e-01	200244
   .1	1.24e-02	2.77e-04			9.97e-01
 17.0	1.24e-02	2.77e-04	7.28e-05	9.97e-01	200556
   .1	1.24e-02	2.78e-04			9.97e-01
 18.0	1.24e-02	2.78e-04	7.28e-05	9.97e-01	200843
   .1	1.24e-02	2.79e-04			9.97e-01
 19.0	1.24e-02	2.79e-04	7.28e-05	9.97e-01	201045
   .1	1.24e-02	2.81e-04			9.97e-01
 20.0	1.24e-02	2.81e-04	7.28e-05	9.97e-01	201226
   .1	1.24e-02	2.82e-04			9.97e-01
projGN iterated maxIter=20 times but reached only stepNorm of 0.09999999999999998 instead 0.001.


--- Inversion on [96, 48, 48] grid with wTVReg and alpha=4.520353656360241e-5 --- 

 i.LS	       F	       R	alpha[1]	   Jc/J0	 #Active
  1.0	1.24e-02	1.75e-04	4.52e-05	1.00e+00	201462
   .1	1.24e-02	1.76e-04			1.00e+00
  2.0	1.24e-02	1.76e-04	4.52e-05	1.00e+00	201642
   .1	1.24e-02	1.78e-04			1.00e+00
  3.0	1.24e-02	1.78e-04	4.52e-05	1.00e+00	202077
   .1	1.24e-02	1.79e-04			9.99e-01
  4.0	1.24e-02	1.79e-04	4.52e-05	9.99e-01	202504
   .1	1.24e-02	1.80e-04			9.99e-01
  5.0	1.24e-02	1.80e-04	4.52e-05	9.99e-01	202891
   .1	1.24e-02	1.82e-04			9.99e-01
  6.0	1.24e-02	1.82e-04	4.52e-05	9.99e-01	203278
   .1	1.24e-02	1.83e-04			9.99e-01
  7.0	1.24e-02	1.83e-04	4.52e-05	9.99e-01	203624
   .1	1.24e-02	1.83e-04			9.99e-01
  8.0	1.24e-02	1.83e-04	4.52e-05	9.99e-01	203923
   .1	1.24e-02	1.84e-04			9.99e-01
  9.0	1.24e-02	1.84e-04	4.52e-05	9.99e-01	204200
   .1	1.24e-02	1.85e-04			9.99e-01
 10.0	1.24e-02	1.85e-04	4.52e-05	9.99e-01	204414
   .1	1.24e-02	1.86e-04			9.98e-01
 11.0	1.24e-02	1.86e-04	4.52e-05	9.98e-01	204612
